Id,Active,ProductCode,ProductType,Name,ProductFamily,Category,GLAccount,Description,UnitOfMeasure,Tags,UnitCost,LotAndExpiryControl,ColdChain,ControlledSubstance,HazardousMaterial,Reconditioned,Manufacturer,BrandName,ManufacturerCode,ManufacturerName,Vendor,VendorCode,VendorName,UPC,NDC,Created,Updated
,TRUE,,Default,"Adalimumab injection, 40mg/0.8mL",,Immunomodulators for non-malignant disease,,,Each,Axial spondyloarthritis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Albendazole chewable tablet, 400mg",,Antifilarials,,,Each,Filariasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Alcohol based hand rub, 80% Ethanol",,Disinfectants,,,Each,Denatured alcohol,,FALSE,,,TRUE,,,,,,,,,,,,
,TRUE,,Default,"Allopurinol tablet, 100mg",,Medicines used to treat gout,,,Each,Gout,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Allopurinol tablet, 300mg",,Supportive medicines,,,Each,Tumour lysis syndrome,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"All-trans retinoic acid capsule, 10mg",,Targeted therapies,,,Each,Acute myeloid leukaemia with recurrent genetic abnormalities,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Alteplase powder for injection, 10mg",,Thrombolytic medicines,,,Each,Cerebral ischaemic stroke,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Alteplase powder for injection, 20mg",,Thrombolytic medicines,,,Each,Cerebral ischaemic stroke,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Alteplase powder for injection, 50mg",,Thrombolytic medicines,,,Each,Cerebral ischaemic stroke,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amidotrizoate injection 140mg/20mL,,Radiocontrast media,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amidotrizoate injection 420mg/20mL,,Radiocontrast media,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amikacin 250mg/mL in 2mL vial,,Access group antibiotics,,,Each,Neutropenia (high-risk),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amikacin eye ointment,,Anti-infective agents,,,Each,Infectious blepharitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amikacin injection, 100mg/2mL",,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amikacin injection, 500mg/2mL",,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amiloride tablet, 5mg",,Diuretics,,,Each,Oedema,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amiodarone hydrochloride tablet, 200mg",,Antiarrhythmic medicines,,,Each,Cardiac arrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amiodarone hydrochloride tablet, 400mg",,Antiarrhythmic medicines,,,Each,Cardiac arrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amiodarone injection 50mg/mL in 3mL vial,,Antiarrhythmic medicines,,,Each,Ascites,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amitriptyline 10mg tablet,,Antiarrhythmic medicines,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amitriptyline 25mg tablet,,Medicines for other common symptoms in palliative care,,,Each,"Palliative care,Depressive disorders",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amitriptyline 75mg tablet,,Medicines used in depressive disorders,,,Each,"Palliative care,Depressive disorders",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amlodipine 5mg tablet,,Antihypertensive medicines,,,Each,Essential hypertension,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amodiaquine 153mg + sulfadoxine 500mg  + pyrimethamine 25mg dispersible tablet,,For curative treatment,,,Each,Malaria,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amodiaquine 76.5mg + sulfadoxine 250mg  + pyrimethamine 12.5mg dispersible tablet,,For curative treatment,,,Each,Malaria,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amodiaquine hydrochloride 153mg,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amodiaquine hydrochloride 200mg,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amoxicillin 1000mg + Clavulanic acid 200mg powder for injection,,Access group antibiotics,,,Each,"Infectious cystitis,Chronic obstructive pulmonary disease with acute exacerbation,Acute sinusitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amoxicillin 500mg + Clavulanic acid 100mg powder for injection,,Access group antibiotics,,,Each,"Infectious cystitis,Chronic obstructive pulmonary disease with acute exacerbation,Acute sinusitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Amoxicillin 500mg + Clavulanic acid 125mg tablet,,Access group antibiotics,,,Each,"Infectious cystitis,Chronic obstructive pulmonary disease with acute exacerbation,Acute sinusitis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin oral solution, 125mg/5mL",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin oral solution, 250mg/5mL",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin powder for injection, 1000mg vial",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin powder for injection, 250mg vial",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin powder for injection, 500mg vial",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin tablet, 250mg",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amoxicillin tablet, 500mg",,Access group antibiotics,,,Each,"Acute otitis media,Acute pharyngitis,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),Acute malnutrition in infants children or adolescents (uncomplicated) [children],Acute malnutrition in infants children or adolescents (complicated) [children],Chronic obstructive pulmonary disease with acute exacerbation,Periapical abscess without sinus",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Amphotericin B powder for injection, 50mg",,Antifungal medicines,,,Each,Blastomycosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ampicillin oral solution, 125mg/5mL",,Access group antibiotics,,,Each,"Bacterial pneumonia (Community-acquired pneumonia - severe) [children],Bacterial meningitis,Acute malnutrition in infants children or adolescents (complicated) [children],Sepsis without septic shock",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ampicillin powder for injection, 1000mg vial",,Access group antibiotics,,,Each,"Bacterial pneumonia (Community-acquired pneumonia - severe) [children],Bacterial meningitis,Acute malnutrition in infants children or adolescents (complicated) [children],Sepsis without septic shock",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ampicillin powder for injection, 500mg vial",,Access group antibiotics,,,Each,"Bacterial pneumonia (Community-acquired pneumonia - severe) [children],Bacterial meningitis,Acute malnutrition in infants children or adolescents (complicated) [children],Sepsis without septic shock",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ampicillin tablet, 250mg",,Access group antibiotics,,,Each,"Bacterial pneumonia (Community-acquired pneumonia - severe) [children],Bacterial meningitis,Acute malnutrition in infants children or adolescents (complicated) [children],Sepsis without septic shock",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ampicillin tablet, 500mg",,Access group antibiotics,,,Each,"Bacterial pneumonia (Community-acquired pneumonia - severe) [children],Bacterial meningitis,Acute malnutrition in infants children or adolescents (complicated) [children],Sepsis without septic shock",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Anastrozole 1mg tablet,,Hormones and antihormones,,,Each,Other specified malignant neoplasms of breast,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-d immunoglobulin injection, 250ug in single dose vial",,Human immunoglobulins,,,Each,Maternal care for red cell antibodies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies immunoglobulin, 150IU/mL vial",,Human immunoglobulins,,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (human), 100IU/mL in 2.5mL vial",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (human), 40IU/mL in 1.25mL vial",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (human), 40IU/mL, 2.5mL vial",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (murine), 300IU/mL in 10mL",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (murine), 600IU/mL in 1mL",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (murine), 600IU/mL in 2.5mL",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Anti-rabies virus monoclonal antibodies (murine), 600IU/mL in 5mL",,"Sera, immunoglobulins and monoclonal antibodies",,,Each,Rabies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Anti-tetanus immunoglobulin 500IU in vial,,Human immunoglobulins,,,Each,Tetanus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Antivenom immunoglobulin,,"Sera, immunoglobulins and monoclonal antibodies",,,Each,"Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified",,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Aprepitant 125mg powder for oral suspension,,Antiemetic medicines,,,Each,Nausea or vomiting,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Aprepitant 125mg tablet,,Antiemetic medicines,,,Each,Nausea or vomiting,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Aprepitant 165mg tablet,,Antiemetic medicines,,,Each,Nausea or vomiting,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Aprepitant 80mg tablet,,Antiemetic medicines,,,Each,Nausea or vomiting,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Arsenic trioxide solution for infusion, 1mg/mL",,Cytotoxic medicines,,,Each,Acute myeloid leukaemia with recurrent genetic abnormalities,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artemether 20mg + lumefantrine 120mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Artemether oily injection, 80mg/mL in1mL vial",,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Artenuate rectal suppository, 100mg",,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Artenuate rectal suppository, 200mg",,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Artenuate rectal suppository, 50mg",,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 100mg + Amodiaquine 270mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 100mg + Mefloquine 220mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 20mg + pyronaridine tetraphosphate 60mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium vivax,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 25mg + Amodiaquine 67.5mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 25mg + Mefloquine 55mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 50mg + Amodiaquine 135mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 60mg + pyronaridine tetraphosphate 180mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Artesunate 60mg injection with 5% sodium bicarbonate,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ascorbic acid 50mg tablet,,Vitamins and minerals,,,Each,Scurvy,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Atazanavir 300mg + Ritonavir 100mg tablet,,Protease inhibitors,,,Each,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Atracurium besylate injection, 10mg/mL",,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,,,Each,Muscle relaxants,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Atropine sulfate 0.1% eye drops,,Mydriatics,,,Each,Anterior uveitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Atropine sulfate 0.5% eye drops,,Mydriatics,,,Each,Anterior uveitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Atropine sulfate 1% eye drops,,Mydriatics,,,Each,Anterior uveitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Atropine sulfate injection, 1mg/mL",,Specific,,,Each,Exposure to or harmful effects of undetermined intent of pesticides,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Azathioprine 50mg tablet,,Disease-modifying anti-rheumatic drugs (DMARDs),,,Each,"Rheumatoid arthritis, serology unspecified",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Azathioprine powder for injection, 100mg",,Immunomodulators for non-malignant disease,,,Each,Failure or rejection of transplanted organs or tissues,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Azithromycin 1.5% eye drops,,Anti-infective agents,,,Each,Trachoma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Azithromycin 250mg tablet,,Anti-infective agents,,,Each,"Chlamydia trachomatis,Typhoid fever,Cholera",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Azithromycin 500mg tablet,,Anti-infective agents,,,Each,"Chlamydia trachomatis,Typhoid fever,Cholera",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Azithromycin oral liquid, 200mg/5mL",,Watch group antibiotics,,,Each,"Chlamydia trachomatis,Typhoid fever,Cholera",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Barium sulfate oral suspension,,Radiocontrast media,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,BCG vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Beclometasone 250ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Asthma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Beclometasone 50ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Asthma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bedaquiline 100mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bedaquiline 20mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bendamustine injection 180mg/2mL,,Cytotoxic medicines,,,Each,"Follicular lymphoma,Chronic lymphocytic leukaemia or small lymphocytic lymphoma",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bendamustine injection 45mg/0.5mL,,Cytotoxic medicines,,,Each,"Follicular lymphoma,Chronic lymphocytic leukaemia or small lymphocytic lymphoma",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benzathine benzylpenicillin injection 1.2 million IU,,Access group antibiotics,,,Each,"Congenital syphilis [children],Syphilis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benzathine benzylpenicillin injection 2.4 million IU,,Access group antibiotics,,,Each,"Congenital syphilis [children],Syphilis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benznidazole 100mg tablet,,American trypanosomiasis,,,Each,Chagas disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benznidazole 12.5mg tablet,,American trypanosomiasis,,,Each,Chagas disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benznidazole 50mg tablet,,American trypanosomiasis,,,Each,Chagas disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benzoyl peroxide 5% ointment,,Medicines affecting skin differentiation and proliferation,,,Each,Acne,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Benzyl benzoate 25% lotion,,Scabicides and pediculicides,,,Each,Pthiriasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Benzylpenicillin powder for injection, 3g",,Access group antibiotics,,,Each,"Congenital syphilis [children],Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Benzylpenicillin powder for injection, 600mg",,Access group antibiotics,,,Each,"Congenital syphilis [children],Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Betamethasone 0.1% ointment,,Anti-inflammatory and antipruritic medicines,,,Each,Pruritus due to skin disorder,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Bevacizumab intravitreal Injection, 25mg/mL",,Anti-vascular endothelial growth factor (VEGF) preparations,,,Each,Age related macular degeneration,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bicalutamide 50mg tablet,,Hormones and antihormones,,,Each,Malignant neoplasms of prostate,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Biperiden 2mg tablet,,Antiparkinsonism medicines,,,Each,Parkinson disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Biperiden injection, 5mg/mL",,Antiparkinsonism medicines,,,Each,Parkinson disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bisoprolol 1.25mg tablet,,Antianginal medicines,,,Each,"Angina pectoris,Heart failure",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bisoprolol 5mg tablet,,Medicines used in heart failure,,,Each,"Angina pectoris,Heart failure",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Bleomycin injection, 15mg",,Cytotoxic medicines,,,Each,Other specified malignant neoplasms of the ovary,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Bortezomib powder for injection, 3.5mg",,Targeted therapies,,,Each,Plasma cell myeloma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Budesonide 100ug + formoterol 6ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Asthma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Budesonide 100ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Asthma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Budesonide 200ug + formoterol 6ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Asthma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Budesonide 200ug inhaler,,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,,Each,Asthma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bupivacaine hydrochloride injection 0.25%,,Local anaesthetics,,,Each,Local anaesthetics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bupivacaine hydrochloride injection 0.5%,,Local anaesthetics,,,Each,Local anaesthetics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bupivacaine spinal injection 0.5% + glucose 7.5% in 4mL ampoule,,Local anaesthetics,,,Each,Local anaesthetics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Bupropion hydrochloride 150mg sustained-release tablet,,Medicines for disorders due to psychoactive substance use,,,Each,Nicotine dependence,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Caffeine citrate injection, 20mg/mL",,Medicines administered to the neonate [c],,,Each,Apnoea of newborn,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Calamine lotion,,Anti-inflammatory and antipruritic medicines,,,Each,Pruritus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Calcipotriol lotion 50mg/mL,,Medicines affecting skin differentiation and proliferation,,,Each,Psoriasis of unspecified type,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Calcium 500mg tablet,,Vitamins and minerals,,,Each,Calcium deficiency,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Calcium folinate 15mg tablet,,Cytotoxic medicines,,,Each,"Malignant neoplasm metastasis in large intestine,Burkitt lymphoma including Burkitt leukaemia,Malignant trophoblastic neoplasms of placenta,Osteosarcoma of bone and articular cartilage of unspecified sites",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Calcium folinate 25mg tablet,,Cytotoxic medicines,,,Each,"Malignant neoplasm metastasis in large intestine,Burkitt lymphoma including Burkitt leukaemia,Malignant trophoblastic neoplasms of placenta,Osteosarcoma of bone and articular cartilage of unspecified sites",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Calcium folinate 5mg tablet,,Cytotoxic medicines,,,Each,"Malignant neoplasm metastasis in large intestine,Burkitt lymphoma including Burkitt leukaemia,Malignant trophoblastic neoplasms of placenta,Osteosarcoma of bone and articular cartilage of unspecified sites",,TRUE,,,,,,,,,,,,,,,
