Product code,Product name,Lot number,Expiration date,Bin location,OB QOH,Physical QOH,Comment
RU651,"Batteries, Non Rechargeable, AAA",,,RM2-RACK1-SHELF2,,500,
XJ252,"Binder clips, 19mm",,,RM2-RACK1-SHELF2,,300,
RS138,"Binder clips, 25mm",,,RM2-RACK1-SHELF2,,200,
MV069,"Binder clips, 32mm",,,RM2-RACK1-SHELF3,,100,
FF240,"Envelope, A3, Manila",,,RM2-RACK1-SHELF3,,1000,
DD108,"Envelope, A3, White",,,RM2-RACK1-SHELF3,,1500,
GT068,Staples 23/13 pack of 1000,,,RM2-RACK1-SHELF3,,50,
PH950,Staples 23/17 pack of 1000,,,RM2-RACK2-SHELF1,,75,
CG819,"File cabinet, Lateral, 5-drawer",,,RM2-RACK2-SHELF1,,4,
UQ102,"File cabinet, Lateral, 6-drawer",,,RM2-RACK2-SHELF1,,1,
MR962,"Stool, rolling",,,RM2-RACK2-SHELF1,,0,
SZ449,"Desk, Office, Wooden or metal",,,RM2-RACK2-SHELF1,,0,
MG983,"Chair, Office, Rolling",,,RM2-RACK2-SHELF1,,10,
RZ479,"Chair, Plastic",,,RM2-RACK2-SHELF1,,100,
HP196,"Beaker, Graduated, Borosilicate glass, 100mL",,,RM1-RACK1-SHELF3,,43,
MY523,"Beaker, Graduated, Borosilicate glass, 250mL",,,RM1-RACK1-SHELF3,,24,
BX996,"Beaker, Graduated, Borosilicate glass, 400mL",,,RM1-RACK1-SHELF3,,15,
BF640,"Coat, Laboratory, Large, Unisex",,,RM1-RACK1-SHELF3,,20,
QS823,"Coat, Laboratory, Medium, Unisex",,,RM1-RACK2-SHELF1,,29,
SJ489,"Coat, Laboratory, Small, Unisex",,,RM1-RACK2-SHELF1,,5,
PK000,"Ethanol (ethyl alcohol), 95%, reagent grade, 16oz",,,RM1-RACK2-SHELF1,,0,
HG966,"Tube, Blood collection, K2 EDTA, Lavender top, Plastic, 4mL",119247,31/08/2024,RM1-RACK2-SHELF1,,3000,
DJ064,"Tube, Blood collection, K2 EDTA, Whole blood, Lavender, 2mL (pediatric)",6567970,28/02/2025,RM1-RACK2-SHELF1,,5000,
TN940,"Tube, Blood collection, Serum, Red, Plastic, 3mL (pediatric)",118286,30/09/2023,RM1-RACK2-SHELF1,,0,
KY133,"Tube, Blood collection, Serum, Red, Plastic, 4mL",118293,30/09/2023,RM1-RACK2-SHELF1,,1200,
